Equipo,Victorias,Empates,Derrotas,Puntos,GolesAnotados,GolesRecibidos,GolesDescansoAnotados,GolesDescansoRecibidos,TirosRealizados,TirosRecibidos,TirosAPuerta,TirosRecibidosAPuerta,CornersAFavor,CornersEnContra,FaltasCometidas,FaltasRecibidas,AmarillasPropias,AmarillasRival,RojasPropias,RojasRival
Man City,14,2,3,44,45,18,15.0,10.0,326.0,182.0,149.0,65.0,127.0,85.0,139.0,201.0,29.0,41.0,0.0,2.0
Arsenal,13,3,3,42,43,13,23.0,5.0,297.0,184.0,100.0,42.0,127.0,62.0,196.0,220.0,28.0,37.0,1.0,0.0
Liverpool,9,7,3,34,37,24,12.0,11.0,312.0,245.0,102.0,85.0,124.0,93.0,234.0,180.0,39.0,42.0,4.0,1.0
Aston Villa,8,4,7,28,28,33,15.0,13.0,234.0,250.0,85.0,107.0,119.0,91.0,201.0,222.0,46.0,41.0,1.0,2.0
Man United,8,3,8,27,26,30,13.0,9.0,231.0,378.0,77.0,111.0,77.0,156.0,215.0,175.0,43.0,41.0,1.0,0.0
Tottenham,7,6,6,27,36,34,14.0,18.0,258.0,266.0,93.0,85.0,98.0,143.0,218.0,259.0,48.0,37.0,2.0,1.0
Chelsea,7,5,7,26,33,37,14.0,13.0,235.0,298.0,91.0,105.0,87.0,100.0,244.0,237.0,58.0,43.0,2.0,3.0
West Ham,7,2,10,23,29,46,11.0,21.0,212.0,369.0,64.0,141.0,79.0,128.0,197.0,186.0,39.0,30.0,2.0,2.0
Crystal Palace,5,6,8,21,20,32,7.0,12.0,198.0,260.0,73.0,90.0,75.0,121.0,228.0,215.0,32.0,35.0,1.0,0.0
Bournemouth,6,3,10,21,27,39,11.0,15.0,267.0,317.0,87.0,108.0,102.0,114.0,253.0,180.0,44.0,31.0,1.0,2.0
Newcastle,6,2,11,20,36,40,16.0,13.0,221.0,300.0,90.0,122.0,81.0,107.0,198.0,236.0,44.0,45.0,0.0,0.0
Everton,5,5,9,20,18,33,7.0,18.0,213.0,310.0,67.0,99.0,88.0,133.0,247.0,176.0,46.0,27.0,1.0,1.0
Wolves,5,4,10,19,24,35,9.0,18.0,204.0,295.0,75.0,118.0,59.0,129.0,242.0,211.0,49.0,27.0,2.0,1.0
Brighton,4,6,9,18,25,35,10.0,18.0,259.0,269.0,95.0,98.0,72.0,97.0,196.0,236.0,53.0,45.0,1.0,4.0
Fulham,4,6,9,18,24,37,9.0,14.0,244.0,285.0,93.0,112.0,100.0,96.0,204.0,167.0,41.0,31.0,2.0,0.0
Brentford,5,2,12,17,27,31,10.0,10.0,213.0,280.0,87.0,92.0,93.0,116.0,211.0,221.0,51.0,33.0,1.0,2.0
Nott'm Forest,4,4,11,16,22,37,13.0,21.0,197.0,266.0,73.0,94.0,66.0,136.0,224.0,197.0,47.0,35.0,1.0,3.0
Burnley,3,5,11,14,22,35,11.0,13.0,179.0,365.0,69.0,134.0,75.0,137.0,229.0,181.0,44.0,41.0,6.0,1.0
Luton,2,4,13,10,24,48,11.0,12.0,167.0,387.0,57.0,131.0,78.0,129.0,222.0,224.0,34.0,33.0,0.0,0.0
Sheffield United,1,3,15,6,16,47,7.0,15.0,162.0,347.0,57.0,127.0,64.0,154.0,214.0,159.0,45.0,31.0,2.0,1.0
